v = 26
a = 6
(b1, b2) = (30, 16)
c = 132
(d1, d2) = (10, 45)
(e1, e2) = (42, 21)
(f1, f2) = (36, 25)
(g1, g2) = (21, 11)
(h1, h2) = (1, 44)
(i1, i2) = (4, 5)
l = 2


Vertici 46
0 1 5
0 2 4
0 3 10
0 4 7
0 5 9
0 6 6
0 7 7
0 8 8
0 9 7
0 10 2
0 11 5
0 12 6
0 13 7
0 14 8
0 15 9
0 16 10
0 17 4
0 18 7
0 19 4
0 20 5
0 21 6
0 22 4
0 23 5
0 24 2
0 25 8
0 26 7
0 27 2
0 28 5
0 29 10
0 30 9
0 31 5
0 32 7
0 33 8
0 34 6
0 35 8
0 36 9
0 37 5
0 38 6
0 39 7
0 40 7
0 41 4
0 42 5
0 43 8
0 44 3
0 45 4
1 2 6
1 3 8
1 4 6
1 5 4
1 6 3
1 7 7
1 8 4
1 9 2
1 10 6
1 11 4
1 12 6
1 13 9
1 14 6
1 15 5
1 16 8
1 17 5
1 18 5
1 19 6
1 20 8
1 21 6
1 22 5
1 23 5
1 24 7
1 25 5
1 26 5
1 27 7
1 28 7
1 29 8
1 30 8
1 31 5
1 32 8
1 33 5
1 34 8
1 35 7
1 36 6
1 37 7
1 38 3
1 39 5
1 40 3
1 41 6
1 42 4
1 43 8
1 44 2
1 45 8
2 3 8
2 4 9
2 5 8
2 6 6
2 7 9
2 8 4
2 9 6
2 10 5
2 11 7
2 12 6
2 13 7
2 14 8
2 15 7
2 16 6
2 17 8
2 18 4
2 19 7
2 20 4
2 21 9
2 22 6
2 23 2
2 24 5
2 25 8
2 26 4
2 27 2
2 28 6
2 29 6
2 30 6
2 31 4
2 32 4
2 33 6
2 34 6
2 35 6
2 36 8
2 37 2
2 38 4
2 39 6
2 40 8
2 41 7
2 42 3
2 43 9
2 44 5
2 45 7
3 4 8
3 5 8
3 6 11
3 7 10
3 8 4
3 9 6
3 10 9
3 11 10
3 12 7
3 13 3
3 14 6
3 15 5
3 16 9
3 17 11
3 18 6
3 19 11
3 20 6
3 21 8
3 22 11
3 23 10
3 24 11
3 25 5
3 26 9
3 27 10
3 28 8
3 29 8
3 30 7
3 31 11
3 32 9
3 33 7
3 34 6
3 35 8
3 36 6
3 37 8
3 38 9
3 39 9
3 40 7
3 41 6
3 42 7
3 43 9
3 44 9
3 45 8
4 5 2
4 6 5
4 7 6
4 8 6
4 9 4
4 10 6
4 11 8
4 12 8
4 13 5
4 14 7
4 15 5
4 16 10
4 17 7
4 18 7
4 19 3
4 20 8
4 21 6
4 22 8
4 23 8
4 24 5
4 25 6
4 26 5
4 27 9
4 28 8
4 29 9
4 30 8
4 31 7
4 32 6
4 33 8
4 34 8
4 35 10
4 36 8
4 37 7
4 38 6
4 39 7
4 40 7
4 41 8
4 42 9
4 43 9
4 44 8
4 45 4
5 6 3
5 7 7
5 8 4
5 9 2
5 10 8
5 11 6
5 12 6
5 13 7
5 14 9
5 15 7
5 16 8
5 17 5
5 18 5
5 19 5
5 20 8
5 21 4
5 22 8
5 23 9
5 24 7
5 25 8
5 26 4
5 27 10
5 28 8
5 29 8
5 30 6
5 31 5
5 32 8
5 33 9
5 34 9
5 35 8
5 36 8
5 37 6
5 38 7
5 39 6
5 40 7
5 41 6
5 42 7
5 43 7
5 44 6
5 45 6
6 7 7
6 8 7
6 9 5
6 10 7
6 11 7
6 12 9
6 13 8
6 14 9
6 15 8
6 16 9
6 17 2
6 18 6
6 19 7
6 20 5
6 21 7
6 22 6
6 23 6
6 24 8
6 25 8
6 26 5
6 27 8
6 28 9
6 29 8
6 30 8
6 31 2
6 32 6
6 33 6
6 34 9
6 35 5
6 36 9
6 37 7
6 38 4
6 39 7
6 40 6
6 41 7
6 42 7
6 43 9
6 44 5
6 45 5
7 8 7
7 9 5
7 10 9
7 11 9
7 12 9
7 13 11
7 14 6
7 15 9
7 16 10
7 17 5
7 18 7
7 19 3
7 20 9
7 21 11
7 22 7
7 23 7
7 24 5
7 25 5
7 26 8
7 27 9
7 28 10
7 29 8
7 30 9
7 31 9
7 32 9
7 33 3
7 34 8
7 35 6
7 36 10
7 37 7
7 38 5
7 39 8
7 40 7
7 41 8
7 42 10
7 43 5
7 44 9
7 45 8
8 9 2
8 10 7
8 11 6
8 12 3
8 13 7
8 14 8
8 15 7
8 16 8
8 17 9
8 18 5
8 19 9
8 20 6
8 21 8
8 22 8
8 23 6
8 24 7
8 25 7
8 26 5
8 27 6
8 28 6
8 29 10
8 30 5
8 31 8
8 32 6
8 33 9
8 34 7
8 35 10
8 36 4
8 37 4
8 38 7
8 39 7
8 40 5
8 41 6
8 42 3
8 43 9
8 44 5
8 45 8
9 10 8
9 11 6
9 12 4
9 13 7
9 14 8
9 15 7
9 16 6
9 17 7
9 18 3
9 19 7
9 20 7
9 21 6
9 22 7
9 23 7
9 24 8
9 25 7
9 26 3
9 27 8
9 28 7
9 29 10
9 30 7
9 31 7
9 32 7
9 33 7
9 34 9
9 35 9
9 36 6
9 37 5
9 38 5
9 39 5
9 40 5
9 41 4
9 42 5
9 43 9
9 44 4
9 45 6
10 11 4
10 12 8
10 13 6
10 14 7
10 15 8
10 16 8
10 17 5
10 18 5
10 19 6
10 20 3
10 21 6
10 22 2
10 23 6
10 24 4
10 25 7
10 26 5
10 27 4
10 28 6
10 29 10
10 30 10
10 31 7
10 32 5
10 33 6
10 34 7
10 35 8
10 36 9
10 37 3
10 38 4
10 39 7
10 40 9
10 41 6
10 42 7
10 43 7
10 44 5
10 45 2
11 12 9
11 13 7
11 14 9
11 15 9
11 16 7
11 17 9
11 18 4
11 19 7
11 20 7
11 21 2
11 22 2
11 23 6
11 24 7
11 25 8
11 26 8
11 27 7
11 28 7
11 29 11
11 30 8
11 31 9
11 32 9
11 33 6
11 34 8
11 35 7
11 36 10
11 37 7
11 38 4
11 39 6
11 40 7
11 41 7
11 42 4
11 43 9
11 44 2
11 45 6
12 13 6
12 14 9
12 15 8
12 16 10
12 17 10
12 18 7
12 19 6
12 20 9
12 21 10
